,domain,ip,rrtype,source,first_seen,last_seen
0,vietinbanka.cc,43.130.69.236,A,VirusTotal,2021-05-12 07:22:01,2021-05-12 07:22:01
1,vietinbanke.top,43.130.69.236,A,VirusTotal,2021-05-16 02:35:41,2021-05-16 02:35:41
2,vietinbanki.cc,43.130.69.236,A,VirusTotal,2021-05-08 07:14:16,2021-05-08 07:14:16
3,vietinbanki.top,43.130.69.236,A,VirusTotal,2021-05-15 08:07:28,2021-05-15 08:07:28
4,vietinbanko.cc,43.130.69.236,A,VirusTotal,2021-05-09 07:51:53,2021-05-09 07:51:53
5,vietinbanko.top,43.130.69.236,A,VirusTotal,2021-05-15 08:07:25,2021-05-15 08:07:25
6,vietinbankw.top,43.130.69.236,A,VirusTotal,2021-05-11 08:45:31,2021-05-11 08:45:31
7,www.vietinbanko.cc,43.130.69.236,A,VirusTotal,2021-05-11 10:35:08,2021-05-11 10:35:08
8,www.vietinbankw.top,43.130.69.236,A,VirusTotal,2021-05-12 02:27:57,2021-05-12 02:27:57
9,www.vietinbanke.top,43.130.69.236,A,Risk IQ,2021-05-11 13:30:43,2021-05-13 06:47:43
10,vietinbanki.cc,43.130.69.236,A,Risk IQ,2021-05-08 00:16:03,2021-05-12 20:47:41
11,vietinbankw.top,43.130.69.236,A,Risk IQ,2021-05-11 01:51:15,2021-05-23 23:50:59
12,www.vietinbanka.cc,43.130.69.236,A,Risk IQ,2021-05-10 07:04:00,2021-05-12 20:47:42
13,www.vietinbanko.top,43.130.69.236,A,Risk IQ,2021-05-10 13:28:38,2021-05-15 07:51:29
14,www.vietinbankw.top,43.130.69.236,A,Risk IQ,2021-05-11 09:26:11,2021-05-15 07:51:31
15,vietinbanka.cc,43.130.69.236,A,Risk IQ,2021-05-10 10:19:03,2021-05-13 06:47:47
16,vietinbanke.top,43.130.69.236,A,Risk IQ,2021-05-11 13:36:03,2021-05-23 23:51:12
17,vietinbanko.top,43.130.69.236,A,Risk IQ,2021-05-10 13:31:03,2021-05-23 23:51:25
18,www.vietinbanki.top,43.130.69.236,A,Risk IQ,2021-05-09 03:52:40,2021-05-15 07:51:28
19,www.vietinbanko.cc,43.130.69.236,A,Risk IQ,2021-05-09 08:26:01,2021-05-31 04:05:30
20,vietinbanki.top,43.130.69.236,A,Risk IQ,2021-05-09 05:42:38,2021-05-17 09:24:11
21,vietinbanko.cc,43.130.69.236,A,Risk IQ,2021-05-09 00:55:51,2021-06-03 06:04:36
