,domain,ip,rrtype,source,first_seen,last_seen
0,03be7065a81219f3831de0ea00118a72f0f5052a.com,152.32.250.218,A,VirusTotal,2021-03-07 10:59:59,2021-03-07 10:59:59
1,55fed73dcc18323c6a61fbdc45f8b45bbbb7dc39.com,152.32.250.218,A,VirusTotal,2021-03-03 02:36:17,2021-03-03 02:36:17
2,6d3f0248c3193e5519a461c8eb8a0183e39ff5c3.com,152.32.250.218,A,VirusTotal,2021-03-07 10:36:11,2021-03-07 10:36:11
3,acbcenter.com,152.32.250.218,A,VirusTotal,2021-03-02 09:31:18,2021-03-02 09:31:18
4,da2f4dc4dcad0eacce914cd344489b387487e1e9.com,152.32.250.218,A,VirusTotal,2021-03-03 04:09:31,2021-03-03 04:09:31
5,data.03be7065a81219f3831de0ea00118a72f0f5052a.com,152.32.250.218,A,VirusTotal,2021-03-07 10:59:07,2021-03-07 10:59:07
6,data.55fed73dcc18323c6a61fbdc45f8b45bbbb7dc39.com,152.32.250.218,A,VirusTotal,2021-03-03 02:46:32,2021-03-03 02:46:32
7,data.6d3f0248c3193e5519a461c8eb8a0183e39ff5c3.com,152.32.250.218,A,VirusTotal,2021-03-07 10:36:16,2021-03-07 10:36:16
8,data.acbcenter.com,152.32.250.218,A,VirusTotal,2021-03-02 09:31:13,2021-03-02 09:31:13
9,data.da2f4dc4dcad0eacce914cd344489b387487e1e9.com,152.32.250.218,A,VirusTotal,2021-03-03 04:09:25,2021-03-03 04:09:25
10,data.e-acb-online.com,152.32.250.218,A,VirusTotal,2021-03-01 06:33:23,2021-03-01 06:33:23
11,data.e-sacombank-online.com,152.32.250.218,A,VirusTotal,2021-03-01 06:23:15,2021-03-01 06:23:15
12,data.i-acb.com,152.32.250.218,A,VirusTotal,2021-03-10 11:41:46,2021-03-10 11:41:46
13,data.i-sacombank.publicvm.com,152.32.250.218,A,VirusTotal,2021-03-10 02:39:34,2021-03-10 02:39:34
14,data.isacombank.publicvm.com,152.32.250.218,A,VirusTotal,2021-03-09 13:53:14,2021-03-09 13:53:14
15,data.ovmfre.com,152.32.250.218,A,VirusTotal,2021-03-02 21:02:04,2021-03-02 21:02:04
16,data.sacombank.publicvm.com,152.32.250.218,A,VirusTotal,2021-03-09 14:08:12,2021-03-09 14:08:12
17,data.sacommbank.com,152.32.250.218,A,VirusTotal,2021-03-01 07:58:16,2021-03-01 07:58:16
18,datasacombank.publicvm.com,152.32.250.218,A,VirusTotal,2021-03-09 06:55:19,2021-03-09 06:55:19
19,e-acb-online.com,152.32.250.218,A,VirusTotal,2021-03-01 06:50:22,2021-03-01 06:50:22
20,e-sacombank-online.com,152.32.250.218,A,VirusTotal,2021-03-01 06:22:26,2021-03-01 06:22:26
