,domain,ip,rrtype,source,first_seen,last_seen
0,www.scb.vin,41.216.178.194,A,Risk IQ,2021-05-17 13:26:01,2021-05-19 00:17:18
1,wscb.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:56:14,2021-06-07 23:41:36
2,www.www.scb.vin,41.216.178.194,A,Risk IQ,2021-05-19 10:31:33,2021-05-19 10:31:33
3,*.scb.vin,41.216.178.194,A,Risk IQ,2021-05-17 13:03:55,2021-05-17 13:03:55
4,qianrenep.top,41.216.178.194,A,Risk IQ,2021-04-13 06:20:52,2021-06-13 03:00:16
5,scb1.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:56:01,2021-06-15 11:50:03
6,www.dvkh.scb.vin,41.216.178.194,A,Risk IQ,2021-05-18 02:40:56,2021-05-18 02:40:56
7,www.scb0.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:52:19,2021-05-24 09:52:19
8,www.scb1.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:52:19,2021-05-24 09:52:19
9,anhui520.top,41.216.178.194,A,Risk IQ,2021-04-15 00:17:40,2021-06-03 23:14:09
10,www.wscb.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:54:31,2021-05-24 09:54:31
11,scb.vin,41.216.178.194,A,Risk IQ,2021-05-16 22:20:48,2021-06-15 04:16:58
12,scb0.xyz,41.216.178.194,A,Risk IQ,2021-05-24 09:56:16,2021-06-17 00:40:21
