,domain,ip,rrtype,source,first_seen,last_seen
0,www.nama-bank.com,165.154.4.62,A,Risk IQ,2021-05-31 23:31:14,2021-05-31 23:43:53
1,scb-vip.com,165.154.4.62,A,Risk IQ,2021-05-27 04:11:44,2021-06-09 12:06:31
2,scb.vn-ipay.com,165.154.4.62,A,Risk IQ,2021-05-27 19:19:40,2021-05-28 18:51:27
3,v-scb.com,165.154.4.62,A,Risk IQ,2021-05-27 02:16:41,2021-05-30 19:06:08
4,scb-vips.com,165.154.4.62,A,Risk IQ,2021-06-01 17:41:27,2021-06-06 16:46:04
5,scbvips.com,165.154.4.62,A,Risk IQ,2021-05-29 18:47:28,2021-05-30 12:57:45
6,www.bidv-vip.com,165.154.4.62,A,Risk IQ,2021-05-26 18:02:48,2021-05-26 21:48:41
7,sacombank-vip.com,165.154.4.62,A,Risk IQ,2021-05-25 23:19:06,2021-05-26 08:07:09
8,acb-vip.com,165.154.4.62,A,Risk IQ,2021-05-25 06:36:59,2021-05-25 06:36:59
9,nama-bank.com,165.154.4.62,A,Risk IQ,2021-05-31 23:42:27,2021-05-31 23:42:27
10,scb-vn.com,165.154.4.62,A,Risk IQ,2021-05-17 00:48:33,2021-05-18 14:31:53
11,sacombank-vn.com,165.154.4.62,A,Risk IQ,2021-05-25 06:06:48,2021-05-25 06:06:48
12,scb.vn-banking.com,165.154.4.62,A,Risk IQ,2021-05-26 17:57:31,2021-05-29 09:03:07
13,www.vietinbank-pay.com,165.154.4.62,A,Risk IQ,2021-06-08 20:23:43,2021-06-08 20:29:55
14,vietinbank-pay.com,165.154.4.62,A,Risk IQ,2021-05-28 05:52:54,2021-06-08 20:28:55
15,www.sacombank-vip.com,165.154.4.62,A,Risk IQ,2021-05-25 23:21:41,2021-05-26 09:21:41
16,scb-ebank.com,165.154.4.62,A,Risk IQ,2021-05-27 00:28:06,2021-06-10 12:41:27
17,www.scb-vip.com,165.154.4.62,A,Risk IQ,2021-05-27 04:12:29,2021-06-08 21:07:27
18,www.scb-vn.com,165.154.4.62,A,Risk IQ,2021-05-17 18:26:11,2021-05-17 18:26:11
