,domain,ip,rrtype,source,first_seen,last_seen
0,theedge.vn,13.229.38.226,A,Risk IQ,2021-03-23 17:00:00,2021-03-23 17:00:00
1,yakumi.cc,13.229.38.226,A,Risk IQ,2020-09-06 01:36:13,2021-06-11 03:01:31
2,byoungkorea.cf,13.229.38.226,A,Risk IQ,2021-04-11 23:25:01,2021-06-10 21:00:48
3,baehair.co,13.229.38.226,A,Risk IQ,2021-04-29 21:30:09,2021-05-08 21:22:13
4,tamtieuplus-online2.xyz,13.229.38.226,A,Risk IQ,2021-04-10 17:00:00,2021-04-10 17:00:00
5,bookstay.cf,13.229.38.226,A,Risk IQ,2021-04-30 02:01:56,2021-05-02 04:05:34
6,bantinxuongkhop24h.cf,13.229.38.226,A,Risk IQ,2021-02-27 20:02:01,2021-05-31 03:26:03
7,vietnambay.cf,13.229.38.226,A,Risk IQ,2020-09-05 14:36:20,2021-06-15 05:12:00
8,vpbank-vayvonnhanh24h.com,13.229.38.226,A,Risk IQ,2021-06-12 17:00:00,2021-06-12 17:00:00
9,ankhopxa.cf,13.229.38.226,A,Risk IQ,2020-11-01 19:13:41,2021-06-06 23:27:00
10,khong-xuat-ban-ten-mien-nay-xin-cam-on.xyz,13.229.38.226,A,Risk IQ,2021-04-17 17:00:00,2021-04-17 17:00:00
11,yeubongda1688.cf,13.229.38.226,A,Risk IQ,2020-09-06 22:32:24,2021-05-04 18:40:09
12,bonnymatte.cf,13.229.38.226,A,Risk IQ,2020-09-03 20:29:06,2021-06-11 04:02:54
13,tuvanbenhungthu1.cf,13.229.38.226,A,Risk IQ,2020-10-27 03:27:51,2021-06-15 11:58:35
14,bongweesports.cf,13.229.38.226,A,Risk IQ,2020-09-01 05:54:05,2021-05-27 03:02:10
15,radioconfession.com.au,13.229.38.226,A,Risk IQ,2020-04-13 06:19:49,2021-06-05 11:53:31
16,caromode.co,13.229.38.226,A,Risk IQ,2019-12-21 02:43:09,2021-06-16 17:22:52
17,binguyentoc.cf,13.229.38.226,A,Risk IQ,2020-08-04 02:06:40,2021-06-01 01:06:24
18,thegioihangnhap.cf,13.229.38.226,A,Risk IQ,2020-10-03 01:26:22,2021-06-14 22:17:26
19,suckhoedadayvn.cf,13.229.38.226,A,Risk IQ,2020-09-03 19:11:35,2021-05-02 04:05:39
20,maycaoraups190.cf,13.229.38.226,A,Risk IQ,2021-05-02 18:45:18,2021-05-03 02:25:00
21,nuamin.co,13.229.38.226,A,Risk IQ,2020-07-07 13:17:07,2021-06-16 17:53:43
22,suckhoe247s.cf,13.229.38.226,A,Risk IQ,2020-11-30 08:28:14,2021-05-29 04:06:23
23,sssong.co,13.229.38.226,A,Risk IQ,2020-08-02 22:09:02,2021-06-16 18:09:37
24,vaylaisuatthap-vietinbank.com,13.229.38.226,A,Risk IQ,2021-04-20 17:00:00,2021-04-20 17:00:00
25,nonson.co,13.229.38.226,A,Risk IQ,2020-07-16 04:03:12,2021-06-16 17:53:22
26,trantrungtuan.cf,13.229.38.226,A,Risk IQ,2021-05-06 03:11:01,2021-05-06 10:25:05
27,hotrophongnguaungthu.cf,13.229.38.226,A,Risk IQ,2020-10-29 22:14:06,2021-05-30 06:30:43
28,vaynhanh-tpbank.xyz,13.229.38.226,A,Risk IQ,2021-04-29 17:00:00,2021-04-29 17:00:00
29,cuocsongxanh.cf,13.229.38.226,A,Risk IQ,2020-09-10 17:32:51,2021-05-10 06:53:21
30,redvn.co,13.229.38.226,A,Risk IQ,2020-08-03 13:35:07,2021-06-16 18:01:28
31,giadunggiadinh.cf,13.229.38.226,A,Risk IQ,2021-05-03 05:45:37,2021-06-03 23:10:42
32,trungtamonline.cf,13.229.38.226,A,Risk IQ,2020-08-31 12:49:12,2021-04-28 12:20:48
33,30phut.cf,13.229.38.226,A,Risk IQ,2021-03-25 03:30:50,2021-06-05 14:56:27
34,freedom1205.cf,13.229.38.226,A,Risk IQ,2020-08-25 23:59:05,2021-05-28 03:15:27
35,dongtay.co,13.229.38.226,A,Risk IQ,2020-07-04 08:02:39,2021-06-17 08:43:31
36,lanybeau.co,13.229.38.226,A,Risk IQ,2020-04-19 04:02:14,2021-04-20 02:05:59
37,banghuu.cf,13.229.38.226,A,Risk IQ,2021-01-03 19:28:02,2021-06-08 18:56:05
