,domain,ip,rrtype,source,first_seen,last_seen
0,ebanking-vietinbank.com,154.22.122.48,A,VirusTotal,2021-05-21 01:46:42,2021-05-21 01:46:42
1,jmsese.com,154.22.122.48,A,VirusTotal,2021-05-21 16:41:57,2021-05-21 16:41:57
2,vietinbank.cc,154.22.122.48,A,VirusTotal,2021-05-20 16:27:30,2021-05-20 16:27:30
3,ebanking-vietinbank.com,154.22.122.48,A,Risk IQ,2021-05-17 09:19:34,2021-05-21 02:51:35
4,www.vietinbank.cc,154.22.122.48,A,Risk IQ,2021-05-29 10:33:23,2021-05-29 20:33:24
5,vietinbanka.com,154.22.122.48,A,Risk IQ,2021-05-17 19:19:07,2021-05-18 00:54:25
6,jmsese.com,154.22.122.48,A,Risk IQ,2021-05-15 02:38:37,2021-06-14 23:06:30
7,vietinbank.cc,154.22.122.48,A,Risk IQ,2021-05-20 03:26:17,2021-06-16 19:10:40
8,www.jmsese.com,154.22.122.48,A,Risk IQ,2021-05-17 17:37:32,2021-05-17 17:37:32
9,www.vietinbanka.com,154.22.122.48,A,Risk IQ,2021-05-17 19:41:48,2021-05-17 19:41:48
