,domain,ip,rrtype,source,first_seen,last_seen
0,acb-online.cc,152.32.250.2,A,VirusTotal,2021-02-08 15:47:37,2021-02-08 15:47:37
1,acb-online.co,152.32.250.2,A,VirusTotal,2021-02-08 15:37:21,2021-02-08 15:37:21
2,acb-online.net,152.32.250.2,A,VirusTotal,2021-02-06 01:58:19,2021-02-06 01:58:19
3,acb-vn.com,152.32.250.2,A,VirusTotal,2021-02-06 02:21:42,2021-02-06 02:21:42
4,acb-vn.net,152.32.250.2,A,VirusTotal,2021-02-07 17:14:35,2021-02-07 17:14:35
5,acb-vn.org,152.32.250.2,A,VirusTotal,2021-02-07 17:31:14,2021-02-07 17:31:14
6,act.alochatapp.com,152.32.250.2,A,VirusTotal,2021-01-23 14:39:11,2021-01-23 14:39:11
7,alochatapp.com,152.32.250.2,A,VirusTotal,2021-02-22 04:14:16,2021-02-22 04:14:16
8,bidv-online-vn.com,152.32.250.2,A,VirusTotal,2021-02-26 13:37:39,2021-02-26 13:37:39
9,data.acb-online.cc,152.32.250.2,A,VirusTotal,2021-02-08 15:47:28,2021-02-08 15:47:28
10,data.acb-online.co,152.32.250.2,A,VirusTotal,2021-02-08 15:37:14,2021-02-08 15:37:14
11,data.acb-online.net,152.32.250.2,A,VirusTotal,2021-02-06 15:01:41,2021-02-06 15:01:41
12,data.acb-vn.com,152.32.250.2,A,VirusTotal,2021-02-06 02:21:39,2021-02-06 02:21:39
13,data.acb-vn.net,152.32.250.2,A,VirusTotal,2021-02-07 17:14:24,2021-02-07 17:14:24
14,data.acb-vn.org,152.32.250.2,A,VirusTotal,2021-02-07 17:44:32,2021-02-07 17:44:32
15,data.bidv-online-vn.com,152.32.250.2,A,VirusTotal,2021-02-26 13:37:30,2021-02-26 13:37:30
16,data.isacombank-online.com,152.32.250.2,A,VirusTotal,2021-02-21 07:47:14,2021-02-21 07:47:14
17,data.isacombank-online.net,152.32.250.2,A,VirusTotal,2021-02-21 13:03:36,2021-02-21 13:03:36
18,data.v-acb.net,152.32.250.2,A,VirusTotal,2021-02-03 17:53:16,2021-02-03 17:53:16
19,data.vn-acb.com,152.32.250.2,A,VirusTotal,2021-02-03 17:52:12,2021-02-03 17:52:12
20,isacombank-online.com,152.32.250.2,A,VirusTotal,2021-02-21 07:47:24,2021-02-21 07:47:24
21,isacombank-online.net,152.32.250.2,A,VirusTotal,2021-02-21 13:03:51,2021-02-21 13:03:51
22,v-acb.net,152.32.250.2,A,VirusTotal,2021-02-03 17:53:24,2021-02-03 17:53:24
23,vn-acb.com,152.32.250.2,A,VirusTotal,2021-02-03 17:52:17,2021-02-03 17:52:17
24,data.acb-vn.com,152.32.250.2,A,Risk IQ,2021-02-05 17:59:25,2021-05-27 18:15:24
25,data.acb-vn.net,152.32.250.2,A,Risk IQ,2021-02-07 09:16:27,2021-05-27 23:07:17
26,acb-online.net,152.32.250.2,A,Risk IQ,2021-02-06 02:02:31,2021-06-16 02:08:25
27,data.acb-online.net,152.32.250.2,A,Risk IQ,2021-05-27 18:15:23,2021-05-28 04:15:24
28,data.acb-vn.org,152.32.250.2,A,Risk IQ,2021-05-27 18:15:23,2021-05-31 19:31:19
29,acb-vn.net,152.32.250.2,A,Risk IQ,2021-02-07 09:16:27,2021-06-13 00:39:58
30,acb-vn.org,152.32.250.2,A,Risk IQ,2021-02-07 09:33:33,2021-06-15 03:18:21
31,acb-vn.com,152.32.250.2,A,Risk IQ,2021-02-05 17:59:25,2021-06-13 00:39:58
