,domain,ip,rrtype,source,first_seen,last_seen
0,www.vn-scbbanki.cc,170.106.37.89,A,Risk IQ,2021-06-03 03:03:50,2021-06-04 15:40:03
1,www.vn-mbbanks.cc,170.106.37.89,A,Risk IQ,2021-06-02 10:56:46,2021-06-06 01:10:09
2,vn-agribank.cc,170.106.37.89,A,Risk IQ,2021-06-02 01:55:09,2021-06-06 01:46:56
3,vn-mbbanks.cc,170.106.37.89,A,Risk IQ,2021-06-02 10:57:45,2021-06-08 06:26:49
4,vn-mbbankis.top,170.106.37.89,A,Risk IQ,2021-06-08 06:27:04,2021-06-08 10:57:34
5,www.vn-scbbank.cc,170.106.37.89,A,Risk IQ,2021-06-03 02:07:51,2021-06-05 04:44:49
6,www.vn-agribank.cc,170.106.37.89,A,Risk IQ,2021-06-02 01:54:08,2021-06-04 03:26:40
7,vn-mbbank.cc,170.106.37.89,A,Risk IQ,2021-06-01 21:46:35,2021-06-07 09:22:03
8,vn-scbbanki.cc,170.106.37.89,A,Risk IQ,2021-06-03 03:04:31,2021-06-07 07:16:39
9,170-106-37-89.ipv4.nknlabs.io,170.106.37.89,A,Risk IQ,2021-04-22 22:37:25,2021-06-02 16:21:09
10,www.vn-mbbank.cc,170.106.37.89,A,Risk IQ,2021-06-01 23:25:32,2021-06-02 21:18:40
11,vn-scbbank.cc,170.106.37.89,A,Risk IQ,2021-06-03 00:00:55,2021-06-07 11:32:17
12,www.vn-mbbankis.top,170.106.37.89,A,Risk IQ,2021-06-08 06:32:58,2021-06-08 06:39:56
