,domain,ip,rrtype,source,first_seen,last_seen
0,lifestyle.apkgold.ae,193.42.111.112,A,Risk IQ,2021-02-13 07:29:12,2021-06-11 11:02:02
1,adventure.apkgold.ae,193.42.111.112,A,Risk IQ,2021-02-13 07:29:12,2021-06-15 03:59:39
2,yandex1.apkgold.ae,193.42.111.112,A,Risk IQ,2021-05-22 01:16:13,2021-05-29 06:00:52
3,radio-record.apkgold.in,193.42.111.112,A,Risk IQ,2021-06-17 05:07:25,2021-06-17 05:07:25
4,roblox.apkgold.in,193.42.111.112,A,Risk IQ,2021-04-09 00:55:25,2021-04-15 09:47:51
5,avg-antivirus-free-for-android-security-2017.apk.gold,193.42.111.112,A,Risk IQ,2019-06-30 01:41:05,2021-04-27 21:26:29
6,success-tips1.apkgold.id,193.42.111.112,A,Risk IQ,2021-03-19 19:34:24,2021-03-30 14:56:07
7,messaging-sms.apkgold.ae,193.42.111.112,A,Risk IQ,2021-04-24 18:40:29,2021-04-24 18:40:29
8,news-by-the-times-of-india.apkgold.es,193.42.111.112,A,Risk IQ,2021-04-26 17:56:06,2021-04-26 17:56:06
9,authy-2-factor-authentication.apkgold.es,193.42.111.112,A,Risk IQ,2021-06-16 04:28:29,2021-06-16 04:28:29
10,poweramp.apkgold.in,193.42.111.112,A,Risk IQ,2021-06-17 05:07:25,2021-06-17 05:07:25
11,productivity.apkgold.ae,193.42.111.112,A,Risk IQ,2021-02-13 07:29:12,2021-06-11 11:02:02
12,google-docs.apkgold.es,193.42.111.112,A,Risk IQ,2021-06-10 13:58:24,2021-06-12 15:55:28
13,myjio.apkgold.in,193.42.111.112,A,Risk IQ,2021-04-05 11:21:45,2021-06-17 05:07:25
14,zomato-restaurant-finder.apkgold.es,193.42.111.112,A,Risk IQ,2021-06-12 15:55:28,2021-06-12 15:55:28
15,instagram.apk.gold,193.42.111.112,A,Risk IQ,2019-09-20 14:40:21,2021-04-27 21:23:34
16,yandex-navigator.apkgold.ae,193.42.111.112,A,Risk IQ,2021-05-22 01:16:13,2021-05-25 17:27:07
17,al-quran-indonesia.apkgold.ae,193.42.111.112,A,Risk IQ,2021-04-28 18:05:20,2021-05-14 23:27:54
18,mobile-security-and-antivirus1.apkgold.ae,193.42.111.112,A,Risk IQ,2021-05-21 07:08:55,2021-05-21 07:30:03
19,swiftkey-keyboard.apkgold.ae,193.42.111.112,A,Risk IQ,2021-05-26 13:12:28,2021-05-26 13:12:28
20,photomath-camera-calculator.apkgold.es,193.42.111.112,A,Risk IQ,2021-05-18 11:24:42,2021-05-18 11:24:42
21,casual.apk.gold,193.42.111.112,A,Risk IQ,2021-05-09 07:06:39,2021-06-05 03:03:47
22,mercado-libre.apkgold.ae,193.42.111.112,A,Risk IQ,2021-04-28 18:05:20,2021-06-15 03:59:39
23,instagram.apkgold.es,193.42.111.112,A,Risk IQ,2021-04-30 17:42:29,2021-05-21 09:21:20
24,maxlock.apkgold.es,193.42.111.112,A,Risk IQ,2021-06-12 15:50:02,2021-06-12 15:50:24
25,googleplus.apkgold.in,193.42.111.112,A,Risk IQ,2021-03-24 23:36:55,2021-06-17 05:07:25
