,domain,ip,rrtype,source,first_seen,last_seen
0,ns8938.dotvndns.vn,112.213.89.38,A,Anomali Labs,2017-10-13 21:13:02,2017-10-19 18:13:10
1,hpstandard.com,112.213.89.38,A,Anomali Labs,2017-07-29 22:50:43,2017-08-25 15:54:30
2,mail.vanlanguni.edu.vn,112.213.89.38,A,Anomali Labs,2017-06-03 13:16:53,2017-06-07 01:51:16
3,chubblifevietnam.com,112.213.89.38,A,Anomali Labs,2016-02-10 13:41:40,2016-02-10 13:41:41
4,cotecconsgroup.net,112.213.89.38,A,Anomali Labs,2015-12-20 11:50:46,2015-12-20 11:50:46
5,chongmoitoancau.net,112.213.89.38,A,Anomali Labs,2015-12-20 08:38:32,2015-12-20 08:38:32
6,chongmoitoancau.info,112.213.89.38,A,Anomali Labs,2015-12-20 08:38:31,2015-12-20 08:38:31
7,chongmoitoancau.com,112.213.89.38,A,Anomali Labs,2015-12-20 08:38:31,2015-12-20 08:38:31
8,cameragiaretphcm.com,112.213.89.38,A,Anomali Labs,2015-12-20 05:22:13,2015-12-20 05:22:13
9,cameragiarenhat.com,112.213.89.38,A,Anomali Labs,2015-12-20 05:22:13,2015-12-20 05:22:13
10,cameragiarehcm.com,112.213.89.38,A,Anomali Labs,2015-12-20 05:22:13,2015-12-20 05:22:13
11,vumanhha.com,112.213.89.38,A,Anomali Labs,2015-12-20 04:42:03,2015-12-20 04:42:03
12,vietstarair.com,112.213.89.38,A,Anomali Labs,2015-12-20 03:22:42,2015-12-20 03:22:42
13,huuthuan.net,112.213.89.38,A,Anomali Labs,2015-12-19 21:37:24,2015-12-19 21:37:24
14,trexuthanh.com,112.213.89.38,A,Anomali Labs,2015-12-19 21:32:31,2015-12-19 21:32:31
15,thietkethicongshop.com,112.213.89.38,A,Anomali Labs,2015-12-19 19:38:25,2015-12-19 19:38:25
16,gscinemas.com,112.213.89.38,A,Anomali Labs,2015-12-19 16:02:33,2015-12-19 16:02:33
