,domain,ip,rrtype,source,first_seen,last_seen
0,neuss.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-05-09 22:11:47
1,memmingen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:54,2021-05-09 22:11:54
2,dietingen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:46,2021-05-09 22:11:46
3,harrislee.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:49,2021-05-18 00:50:44
4,herne.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-05-09 22:11:47
5,moser.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-06-17 15:52:06
6,zell-am-see.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:52,2021-06-14 16:20:53
7,schortens.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:45,2021-05-09 22:11:45
8,lippetal.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:50,2021-05-17 03:12:03
9,kallmerode.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:56,2021-05-24 16:18:47
10,puttlingen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:51,2021-05-09 22:11:51
11,leonding.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:55,2021-06-16 04:03:54
12,hilchenbach.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:51,2021-05-17 03:12:04
13,webmail.advanceit.ba,172.67.129.226,A,Risk IQ,2020-07-03 00:05:32,2021-04-26 13:02:17
14,sayansib.ru,172.67.129.226,A,Risk IQ,2021-01-15 20:24:56,2021-04-27 11:29:36
15,elzach.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:51,2021-05-19 08:45:02
16,schliersee.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-05-19 11:26:25
17,radebeul.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:57,2021-06-16 21:51:27
18,erkelenz.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:56,2021-05-22 06:41:15
19,bous.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:49,2021-06-17 17:24:56
20,heiligenhaus.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-05-09 22:11:47
21,www.fremantlewesternaustralia.com.au,172.67.129.226,A,Risk IQ,2020-05-26 11:40:38,2021-06-15 19:02:13
22,viersen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:49,2021-05-09 22:11:49
23,bassum.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:54,2021-05-09 22:11:54
24,kuhbach.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:48,2021-06-17 10:18:31
25,transformcommunications.com.au,172.67.129.226,A,Risk IQ,2020-08-17 22:51:39,2021-06-14 15:25:53
26,kiel.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:49,2021-05-18 00:50:45
27,sautens.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:49,2021-05-09 22:11:49
28,kinderbeuern.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:56,2021-05-09 22:11:56
29,dreieich.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:56,2021-06-17 22:13:24
30,gugging.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:50,2021-05-09 22:11:50
31,en.riagreasesenskin.cf,172.67.129.226,A,Risk IQ,2021-04-28 18:29:23,2021-04-28 18:29:24
32,bad-kostritz.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:51,2021-06-17 05:40:39
33,diverseindustries.net.au,172.67.129.226,A,Risk IQ,2020-06-01 14:02:21,2021-06-15 12:01:30
34,aachen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:57,2021-06-16 17:20:25
35,engelsberg.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:52,2021-06-17 05:40:39
36,myeasyinbox.org,172.67.129.226,A,Risk IQ,2020-12-26 09:07:30,2021-06-12 08:29:52
37,wulfrath.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:55,2021-05-09 22:11:55
38,crottendorf.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:53,2021-05-09 22:11:53
39,meine.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:52,2021-05-17 03:11:21
40,spangenberg.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:47,2021-05-24 10:36:52
41,rahyparasepfind.cf,172.67.129.226,A,Risk IQ,2020-09-02 15:26:56,2021-05-25 03:41:27
42,gundelfingen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:55,2021-06-16 02:57:20
43,giesen.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:54,2021-05-09 22:11:54
44,cynsationalparty.com,172.67.129.226,A,Risk IQ,2020-08-19 03:43:44,2021-04-23 23:46:33
45,graz.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:53,2021-05-19 11:26:26
46,detern.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:45,2021-06-17 10:18:30
47,melbeck.montalpina.ch,172.67.129.226,A,Risk IQ,2021-05-09 22:11:45,2021-05-22 06:41:15
