,domain,ip,rrtype,source,first_seen,last_seen
0,online-vnacb.cc,49.51.250.47,A,VirusTotal,2021-05-29 03:38:24,2021-05-29 03:38:24
1,online-vnacb.vip,49.51.250.47,A,VirusTotal,2021-05-31 03:30:00,2021-05-31 03:30:00
2,online-vnacbs.cc,49.51.250.47,A,VirusTotal,2021-06-03 15:42:21,2021-06-03 15:42:21
3,www.online-vnacb.cc,49.51.250.47,A,VirusTotal,2021-05-29 06:54:34,2021-05-29 06:54:34
4,www.online-vnacbs.cc,49.51.250.47,A,Risk IQ,2021-06-13 02:39:32,2021-06-13 02:39:32
5,online-vnacb.vip,49.51.250.47,A,Risk IQ,2021-05-29 04:01:45,2021-05-30 20:30:44
6,online-vnacb.cc,49.51.250.47,A,Risk IQ,2021-05-28 20:25:50,2021-05-30 17:35:35
7,www.online-vnacb.vip,49.51.250.47,A,Risk IQ,2021-05-29 05:18:24,2021-05-30 13:19:43
8,www.online-vnacb.cc,49.51.250.47,A,Risk IQ,2021-05-28 23:53:51,2021-05-29 09:53:52
9,online-vnacbs.cc,49.51.250.47,A,Risk IQ,2021-05-29 23:50:40,2021-06-10 02:01:23
